sample	variable	value	description
277	whole_tree_age	27.9905	whole_tree_age
277	island_ori_age	13.7853	island_origin_age
277	island_ori_region	1	island_origin_region
277	rho_d_2	0.05	base_dispersal_rate
277	rho_e_2	0.05	base_extinction_rate
277	rho_w_2	0.05	base_w_speciation_rate
277	rho_b_2	0.25	base_b_speciation_rate
277	sigma_d_1	0	long-distance?
277	sigma_e_1	0	high-island?
277	sigma_w_1	1.5	high-island?
277	sigma_b_1	1.5	long-distance?
277	sigma_d_2	0	old-to-young?
277	sigma_e_2	1.5	net-growth?
277	sigma_w_2	0	net-growth?
277	sigma_b_2	-1.5	old-to-young?
277	phi_d_1	-0.5	distance
277	phi_e_1	-1	elevation
277	phi_w_1	0.5	elevation
277	phi_b_1	1	distance
277	phi_d_2	0	age-diff
277	phi_e_2	0	age
277	phi_w_2	-0.5	age
277	phi_b_2	0	age-diff
